date,name,latitude,longitude
2015-07-11,Cantharellus cinnabarinus,35.758772,-84.76347
2015-07-11,Cantharellus lateritius,35.758772,-84.76347
2015-08-12,Laetiporus sulphureus,40.10738,-74.434976
2015-08-08,Cantharellus cinnabarinus,36.3011283333,-85.2333833333
2015-08-16,Laetiporus sulphureus,39.592693,-84.753674
2015-08-16,Hypomyces lactifluorum,43.6275166667,-72.52993
2015-08-09,Boletus fibrillosus,38.73714448,-119.9361258867
2015-06-06,Laetiporus sulphureus,40.225467,-87.749904
2015-08-19,Hydnum umbilicatum,57.08184705,-135.35997791
2015-08-22,Lactarius indigo,35.94001031,-83.9212177
2015-08-22,Lactarius indigo,35.940165,-83.921285
2015-08-24,Laetiporus sulphureus,41.836201,-72.293502
2015-07-24,Laetiporus sulphureus,36.67212,-81.207816
2015-08-23,Boletus fibrillosus,38.1882283333,-119.8009116667
2015-08-25,Laetiporus sulphureus,41.3588211835,-81.5804298508
2015-08-22,Lactarius indigo,35.938414,-83.925612
2015-08-26,Laetiporus sulphureus,41.2458913792,-81.6254591569
2015-08-28,Boletus pallidus,44.90389,-85.91785
2015-08-29,Laetiporus sulphureus,39.6199083333,-84.0927666667
2015-08-29,Laetiporus sulphureus,42.010244,-72.172242
2015-08-19,Laetiporus sulphureus,42.407951,-71.326895
2015-08-29,Laetiporus sulphureus,41.720373,-81.165792
2015-08-29,Hydnum repandum,57.07480341,-135.28995928
2015-08-08,Boletus edulis,38.5892426487,-119.858794891
2015-08-30,Pleurotus ostreatus,47.3823333333,-91.1958333333
2015-08-22,Lactarius indigo,35.9384611111,-83.9255666667
2015-09-02,Boletus pallidus,32.493945,-94.758625
2015-09-03,Laetiporus sulphureus,43.6490638792,-72.4032869563
2015-09-06,Pleurotus ostreatus,33.169586,-96.877553
2015-09-06,Craterellus cornucopioides,35.1128195,-85.8467033333
2015-09-05,Cantharellus formosus,57.16561739,-135.73994297
2015-09-05,Lactarius deliciosus,57.18124141,-135.71581543
2015-08-29,Laetiporus sulphureus,42.0273,-72.339617
2015-08-02,Laetiporus sulphureus,43.1797701,-71.5733528
2015-09-05,Cantharellus cibarius,47.8175,-91.7306666667
2015-09-09,Hypomyces lactifluorum,47.3881666667,-91.2036666667
2015-09-09,Cantharellus cinnabarinus,44.910124,-85.923353
2015-08-25,Boletus hortonii,39.28382,-83.437982
2015-09-10,Hericium coralloides,44.957262,-73.15057
2015-09-07,Lactarius californiensis,37.5121416667,-118.821
2015-08-03,Hypomyces lactifluorum,44.566114,-68.803368
2015-05-26,Morchella snyderi,39.2444211125,-120.3951316719
2015-09-12,Hericium erinaceus,45.634291,-123.366406
2015-09-11,Laetiporus sulphureus,40.548815,-74.621827
2015-09-05,Lactarius indigo,35.8157583333,-85.6469783333
2015-09-13,Laetiporus sulphureus,41.20820921,-81.58936152
2015-09-13,Hypomyces lactifluorum,44.4238283333,-73.6287783333
2015-09-13,Laetiporus sulphureus,35.98168823,-79.06214505
2015-09-13,Hericium erinaceus,35.98027158,-79.06306926
2015-09-13,Boletus pallidus,35.98006375,-79.06248106
2015-09-15,Hypomyces lactifluorum,47.3928333333,-91.2153333333
2015-09-14,Hypomyces lactifluorum,44.536588,-73.096724
2015-09-17,Grifola frondosa,39.787105,-89.6854083333
2015-09-19,Cantharellus formosus,57.08399089,-135.27001666
2015-09-20,Hypomyces lactifluorum,44.512025,-71.835084
2015-09-15,Hypomyces lactifluorum,44.761976,-71.733443
2015-09-21,Hericium americanum,46.849921,-68.513232
